combination,score
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_0-RidgeClassifier_stem_cap_gill_ringandveil_other__top_2,0.9913761628176807
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_1,0.991703406310324
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_2,0.9913825792437315
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_2,0.991703406310324
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2,0.9917932366867523
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2-RidgeClassifier_stem_cap_gill_ringandveil_other__top_0,0.9917932366867523
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2-RidgeClassifier_stem_cap_gill_ringandveil_other__top_0-RidgeClassifier_stem_cap_gill_ringandveil_other__top_1,0.9914403276957653
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2-RidgeClassifier_stem_cap_gill_ringandveil_other__top_0-RidgeClassifier_stem_cap_gill_ringandveil_other__top_1-RidgeClassifier_stem_cap_gill_ringandveil_other__top_2,0.9914467441218161
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2-RidgeClassifier_stem_cap_gill_ringandveil_other__top_0-RidgeClassifier_stem_cap_gill_ringandveil_other__top_2,0.9914467441218161
CatBoostClassifier_stem_cap_gill_ringandveil_other__top_0-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_1-CatBoostClassifier_stem_cap_gill_ringandveil_other__top_2-LGBMClassifier_stem_cap_gill_ringandveil_other__top_0-LGBMClassifier_stem_cap_gill_ringandveil_other__top_2-RidgeClassifier_stem_cap_gill_ringandveil_other__top_1,0.9917932366867523
